"iid","is_male","age","field_of_study","field_of_study_category","undergrad_sch","median_SAT_of_undergrad_sch","tuition_of_undergrad_sch","race","importance_of_race","importance_of_religion","from","median_income_of_zipcode","income","goal_of_participating","freq_of_going_on_dates","freq_of_going_out","intended_career","intended_career_category","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","expectation_of_happiness_of_matches","expected_num_of_people_interested_in_me_out_of_twenty"
294,FALSE,30,"Social Studies Education","Education, Academia","Rutgers University","1,188.00","11,311.00","Asian/Pacific Islander/Asian-American",1,1,"New York City","7,304","","Seemed like a fun night out","Several times a year","Twice a week","Secondary Education Teacher","Academic/Research",7,8,4,9,10,10,1,1,7,10,3,10,9,7,8,8,5,6,NA
295,FALSE,30,"MA Teaching Social Studies","Education, Academia","Arizona State","1,097.00","10,352.00","European/Causasian-American",5,7,"Arizona","85,283","39,394.00","To meet new people","Several times a year","Several times a week","High School Social Studies Teacher","Academic/Research",7,8,8,5,7,5,3,1,2,10,7,10,10,8,8,5,8,6,NA
296,FALSE,28,"Education Policy","Education, Academia","Univ of Pennsylvania","1,400.00","26,630.00","European/Causasian-American",10,10,"New York","11,365","40,695.00","Seemed like a fun night out","Twice a month","Twice a week","Education Policy Analyst","Academic/Research",4,5,2,8,8,7,6,5,9,9,9,8,7,8,10,9,7,3,NA
297,FALSE,21,"Education- Literacy Specialist","Education, Academia","Washington U. in St. Louis","","26,377.00","European/Causasian-American",9,8,"Texas","77,401","45,788.00","To meet new people","Twice a week","Several times a week","Literacy Organization head/ Director of Development for non-profit","Academic/Research",5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,7,NA
298,FALSE,22,"English","English/Creative Writing/ Journalism","SUNY Geneseo","1,212.00","9,210.00","European/Causasian-American",7,1,"Buffalo, NY","14,075","37,315.00","To meet new people","Several times a year","Twice a week","English Teacher","Academic/Research",3,1,3,5,10,10,3,1,4,10,5,10,10,10,10,9,7,1,NA
299,FALSE,24,"Social Work","Social Work","New York University","1,340.00","25,380.00","Asian/Pacific Islander/Asian-American",1,1,"Maryland","21,015","51,663.00","To meet new people","Several times a year","Twice a week","Program development / policy work","Academic/Research",7,1,7,8,9,8,9,4,9,9,6,7,9,7,9,5,4,5,NA
300,FALSE,35,"Anthropology/Education","Social Science, Psychologist","Miami University","1,250.00","14,589.00","European/Causasian-American",1,1,"Buffalo, NY","14,043","32,563.00","To meet new people","Several times a year","Twice a week","Researcher","Academic/Research",8,2,8,9,10,10,7,2,5,8,2,10,8,8,10,4,2,9,NA
301,FALSE,34,"bilingual education","Education, Academia","university of pennsylvania","1,400.00","26,630.00","European/Causasian-American",3,8,"Washington, DC","8,540","","To meet new people","Twice a month","Several times a week","professor of education","Academic/Research",5,3,9,10,7,8,5,1,5,9,5,9,10,9,9,5,9,2,NA
302,FALSE,21,"speech pathology","Social Science, Psychologist","marymount manhattan college","1,034.00","14,695.00","European/Causasian-American",8,7,"Long Island","11,754","54,303.00","To meet new people","Once a week","Several times a week","speech pathologist","Speech Pathology",10,10,9,7,5,6,6,6,8,5,7,7,7,9,9,6,6,8,NA
303,FALSE,33,"Education","Education, Academia","Harvard","1,400.00","26,019.00","European/Causasian-American",2,1,"Brooklyn, NY","27,701","16,908.00","Looking for a serious relationship","Once a month","Several times a week","Educator","Academic/Research",7,1,9,9,9,7,7,1,1,10,2,9,9,8,9,5,1,6,NA
304,FALSE,28,"Speech Pathology","Social Science, Psychologist","Holy Cross College","1,258.00","25,020.00","European/Causasian-American",1,10,"NYC-6 yrs. Grew up in Nebraska","68,124","39,729.00","Seemed like a fun night out","Almost never","Twice a week","Speech Pathologist","Speech Pathology",10,1,8,7,7,8,2,1,4,8,1,8,9,7,7,8,9,6,NA
305,FALSE,29,"math education","Education, Academia","university of the philippines","","","Asian/Pacific Islander/Asian-American",6,9,"philippines","","","Seemed like a fun night out","Twice a month","Several times a week","teaching/education","Academic/Research",8,2,7,10,7,7,8,2,7,8,7,8,9,7,7,9,8,4,NA
306,FALSE,22,"TESOL","Education, Academia","National Taiwan University","","","Asian/Pacific Islander/Asian-American",6,2,"Taiwan","","","Seemed like a fun night out","Several times a year","Once a week","professor in college","Academic/Research",6,6,9,8,5,5,7,4,5,6,9,9,9,5,5,9,5,7,NA
307,FALSE,27,"Elementary Education","Education, Academia","William and Mary","1,340.00","17,808.00","Asian/Pacific Islander/Asian-American",1,3,"Virginia","22,003","57,316.00","To say I did it","Almost never","Twice a week","Teacher","Academic/Research",10,8,10,9,8,9,10,1,5,10,7,10,10,8,10,9,3,3,NA
308,TRUE,27,"Cognitive Studies in Education","Education, Academia","Taiwan University","","","Asian/Pacific Islander/Asian-American",7,3,"Cambridge, Massachusetts","11,137","","Seemed like a fun night out","Almost never","Twice a week","Academia; Research; Teaching","Academic/Research",7,7,7,8,8,8,8,7,3,7,9,8,9,7,8,7,7,7,NA
309,TRUE,32,"education","Education, Academia","SUNY Albany","1,185.00","9,620.00","European/Causasian-American",5,9,"NYC","10,463","30,587.00","To get a date","Once a week","Twice a week","curriculum developer","Academic/Research",6,4,4,9,8,10,8,5,7,9,6,8,9,8,10,4,4,7,NA
310,TRUE,25,"Computer Science","Engineering","UPenn","1,400.00","26,630.00","European/Causasian-American",7,8,"NJ","10,021","55,080.00","Seemed like a fun night out","Once a week","Several times a week","?","Undecided",2,2,3,7,6,6,3,8,5,9,8,7,9,5,6,5,3,6,NA
311,TRUE,29,"Finance/Economics","Business/Econ/Finance","Columbia College","1,430.00","26,908.00","Asian/Pacific Islander/Asian-American",1,1,"New York","11,746","57,513.00","To meet new people","Several times a year","Several times a week","Entrepreneur","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,8,9,10,7,6,8,9,1,7,4,6,8,10,10,9,8,8,NA
312,TRUE,23,"Museum Anthropology","Fine Arts/Arts Administration","Brown","1,400.00","27,395.00","European/Causasian-American",3,1,"NYC","10,025","33,772.00","To meet new people","Twice a month","Twice a week","Museum Work (Curation?)","Creative Arts/Entertainment",7,7,5,7,9,8,10,5,3,8,5,6,9,7,8,2,1,5,NA
313,TRUE,27,"Business","Business/Econ/Finance","Brown","1,400.00","27,395.00","European/Causasian-American",2,3,"Boston","1,173","","Seemed like a fun night out","Twice a month","Several times a week","Music Industry","Creative Arts/Entertainment",9,8,6,8,6,3,6,1,9,6,3,2,7,8,10,5,1,6,NA
314,TRUE,32,"Political Science","Political Science/International Affairs","Delhi University","","","Other",3,1,"New Delhi, India","0","","To meet new people","Several times a year","Twice a week","academic or consulting","Academic/Research",9,2,7,8,6,4,2,2,2,6,7,3,7,6,8,8,8,6,NA
315,TRUE,27,"Environmental Engineering","Engineering","Princeton U.","1,460.00","27,230.00","European/Causasian-American",1,4,"way too little space here. world citizen.","","","To get a date","Once a month","Once a week","Academia or UN","Academic/Research",8,2,2,8,8,8,8,2,8,7,1,8,9,7,7,2,2,5,NA
316,TRUE,25,"Business","Business/Econ/Finance","University of Pennsylvania","1,400.00","26,630.00","European/Causasian-American",3,3,"Philadelphia","10,019","31,857.00","To meet new people","Twice a month","Several times a week","Investment banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,3,5,7,6,6,6,4,6,9,5,4,4,7,9,4,1,5,NA
317,TRUE,30,"MBA","Business/Econ/Finance","Engineering","","","European/Causasian-American",1,1,"Italy","80,131","","Seemed like a fun night out","Twice a month","Several times a week","International Development banker","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,1,5,10,6,10,4,3,8,4,1,10,10,8,9,1,1,7,NA
318,TRUE,29,"Business Administration","Business/Econ/Finance","Harcourt Butler Technological Institute","","","Other",1,1,"Ottawa, Canada","","","To meet new people","Several times a year","Several times a week","Corporate Finance, Asset Management/ Hedge Funds","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,4,8,6,4,5,7,7,7,7,6,7,8,5,8,7,6,6,NA
319,TRUE,26,"Curriculum and Teaching/Giftedness","Education, Academia","Penn State University","1,260.00","14,388.00","European/Causasian-American",2,4,"New Jersey","7,624","","Other","Almost never","Twice a week","I am a teacher.","Academic/Research",8,7,5,7,5,4,8,7,1,5,7,2,2,10,9,2,3,7,NA
320,TRUE,36,"History","History/Religion/Philosophy","UC Davis","1,242.00","10,704.00","European/Causasian-American",6,8,"Pennsylvania","18,603","23,207.00","Looking for a serious relationship","Once a month","Once a month","Professor or journalist","Academic/Research",4,1,9,9,8,4,6,3,1,10,1,5,7,2,5,2,1,6,NA
321,TRUE,29,"Business","Business/Econ/Finance","Ecole Superieure d'Electricite","","","European/Causasian-American",3,3,"France  / New York","0","","Seemed like a fun night out","Once a month","Several times a week","Finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,4,4,8,5,5,4,2,7,5,2,6,8,6,7,2,1,6,NA
322,FALSE,34,"Anthropology","Social Science, Psychologist","Kunitachi College of Music (in Japan)","","","Asian/Pacific Islander/Asian-American",2,1,"Tokyo and Texas","","","To meet new people","Twice a week","Twice a week","to get Ph.D and be a professor","Academic/Research",8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9,NA
323,FALSE,25,"Instructional Tech & Media","Engineering","Fu Jen Catholic University, Taiwan","","","Asian/Pacific Islander/Asian-American",1,1,"Taiwan","","","To meet new people","Twice a month","Once a week","Education","Academic/Research",5,7,7,7,8,7,7,6,6,7,8,9,9,8,8,8,6,8,NA
324,FALSE,23,"School Psychology","Social Science, Psychologist","Bucknell University","1,290.00","25,335.00","European/Causasian-American",8,3,"Erie, PA","","","Seemed like a fun night out","Twice a month","Twice a week","school psychologist","Psychologist",8,8,6,10,8,8,9,6,9,7,8,10,8,10,10,7,7,5,NA
325,FALSE,30,"School Psychology","Social Science, Psychologist","Fordham University","1,160.00","22,170.00","Latino/Hispanic American",2,4,"New York","","","To meet new people","Several times a year","Twice a week","School Psychologist","Psychologist",5,7,9,9,9,9,7,7,7,9,7,9,9,9,9,4,6,6,NA
326,FALSE,36,"Instructional Media and Technology","Education, Academia","Rutgers University","1,188.00","11,311.00","Black/African American",5,5,"Westchester, new York","","","To meet new people","Several times a year","Twice a month","Educator","Academic/Research",2,2,3,8,8,8,2,2,6,9,6,10,8,10,10,10,8,8,NA
327,FALSE,29,"SIPA / MIA","Political Science/International Affairs","University of Arizona","1,099.00","10,356.00","European/Causasian-American",2,7,"USA/American","","","To meet new people","Several times a year","Once a week","Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",1,1,5,10,8,7,7,1,6,10,1,9,8,9,9,1,5,5,NA
328,FALSE,30,"English Education","Education, Academia","Binghamton University","1,214.00","9,451.00","European/Causasian-American",1,1,"NYC","","","To meet new people","Once a week","Several times a week","Teacher","Academic/Research",8,3,10,10,10,10,10,1,5,10,7,10,10,10,10,5,10,6,NA
329,FALSE,29,"art education","Education, Academia","Brown University","1,400.00","27,395.00","European/Causasian-American",1,1,"Great Neck, NY","","","Other","Several times a year","Twice a week","teacher","Academic/Research",3,2,7,7,10,10,3,1,4,10,2,10,7,6,8,2,1,4,NA
330,FALSE,22,"MA in Quantitative Methods","Engineering","Cal Berkeley","1,309.00","15,162.00","Asian/Pacific Islander/Asian-American",3,3,"California (West Coast)","","","Seemed like a fun night out","Almost never","Once a week","not sure yet :)","Undecided",8,7,7,8,5,5,2,2,9,5,7,2,8,4,9,5,2,7,NA
331,FALSE,34,"Early Childhood Education","Education, Academia","Univ. of Connecticut","1,140.00","14,942.00","European/Causasian-American",1,1,"New Jersey","","","Seemed like a fun night out","Several times a year","Once a week","Early Childhood Ed. - College/univ. faculity","Academic/Research",4,7,4,6,7,7,10,2,1,9,3,7,7,9,9,4,10,4,NA
332,TRUE,30,"anthropology","Social Science, Psychologist","university of wisconsin/la crosse","","3,730.00","Asian/Pacific Islander/Asian-American",1,1,"japan","","","To get a date","Almost never","Twice a month","medical examiner or researcher","Academic/Research",7,2,8,5,10,10,7,3,7,9,5,8,10,5,9,7,1,7,NA
333,TRUE,23,"MBA","Business/Econ/Finance","Cornell University","1,360.00","26,062.00","European/Causasian-American",5,3,"Portland, OR","","","Seemed like a fun night out","Once a week","Several times a week","Investment Banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,5,10,7,3,1,10,5,3,8,2,4,8,2,4,3,6,7,NA
334,TRUE,29,"MBA","Business/Econ/Finance","Trinity College","1,270.00","26,786.00","Asian/Pacific Islander/Asian-American",1,1,"New York/South Korea/Japan","","","Seemed like a fun night out","Once a month","Once a week","Healthcare","Doctor/Medicine",9,4,9,9,8,8,5,6,8,5,5,6,6,3,5,8,5,5,NA
335,TRUE,24,"Psychology","Social Science, Psychologist","Georgetown University","1,400.00","25,425.00","European/Causasian-American",1,8,"Michigan","","","Seemed like a fun night out","Once a week","Once a week","research","Academic/Research",9,1,9,4,7,7,4,1,4,8,6,5,4,3,8,5,7,6,NA
336,TRUE,25,"Architecture","Architecture","Florida International University","1,110.00","10,450.00","Latino/Hispanic American",1,5,"Miami","","","Seemed like a fun night out","Once a month","Twice a week","Architecture and design","Architecture",5,4,4,5,8,10,4,1,1,9,4,6,10,10,10,3,4,4,NA
337,TRUE,28,"Urban Planning","Engineering","Texas A&M","1,178.00","10,052.00","European/Causasian-American",1,1,"Dallas, Texas","","","Seemed like a fun night out","Once a month","Once a week","Civil Engineer","Engineer",9,9,8,8,8,7,5,4,6,7,5,7,8,7,6,4,4,5,NA
338,TRUE,27,"Urban Planning","Engineering","Rizvi College of Architecture, Bombay University","","","Other",1,1,"Bombay, India","","","Seemed like a fun night out","Twice a month","Twice a week","Real Estate Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",4,2,7,6,8,8,8,6,6,8,4,10,10,7,7,5,10,2,NA
339,TRUE,NA,"",NA,"","","",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,TRUE,NA,"",NA,"","","",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,FALSE,23,"Political Science","Political Science/International Affairs","Barnard College","1,330.00","24,036.00","Asian/Pacific Islander/Asian-American",3,10,"New Jersey","8,816","","Seemed like a fun night out","Several times a year","Several times a week","undecided","Undecided",1,2,1,10,9,9,8,1,6,10,10,10,10,10,10,9,10,5,NA
342,FALSE,33,"Ed.D. in higher education policy at TC","Education, Academia","University of Michigan-Ann Arbor","1,290.00","21,645.00","Latino/Hispanic American",2,1,"Palo Alto, CA","","","Seemed like a fun night out","Several times a year","Once a week","University President","Academic/Research",3,4,4,10,9,10,1,1,8,7,10,8,10,1,4,10,4,2,NA
343,FALSE,32,"Epidemiology","Biological Sciences/Chemistry/Physics","University of Pennsylvania","1,400.00","26,630.00","European/Causasian-American",5,6,"New York","10,001","25,831.00","To get a date","Twice a week","Several times a week","Epidemiologist","Doctor/Medicine",6,3,3,10,10,10,8,2,3,5,4,8,9,9,9,9,7,5,NA
344,FALSE,26,"International Security Policy - SIPA","Political Science/International Affairs","Univ of New Mexico","1,060.00","11,424.00","Latino/Hispanic American",1,3,"New Mexico","87,110","28,759.00","To get a date","Twice a month","Once a week","Security Policy - Homeland Defense","International/Humanitarian Affairs",9,7,5,6,7,6,4,3,9,4,4,9,9,9,9,9,5,5,NA
345,FALSE,24,"Nutrition","Biological Sciences/Chemistry/Physics","Biological Sciences","","","European/Causasian-American",7,6,"Brooklyn","11,235","25,401.00","To meet new people","Almost never","Twice a month","Nutritionist","Doctor/Medicine",5,1,10,6,5,5,3,4,8,9,6,7,7,8,9,6,9,6,NA
346,FALSE,NA,"",NA,"","","",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,FALSE,26,"EDUCATION","Education, Academia","HOWARD UNIVERSITY","","10,222.00","Black/African American",1,1,"WASHINGTON, D.C.","20,001","19,264.00","To say I did it","Several times a year","Several times a week","GOVERNOR","Politics",1,1,2,10,3,3,1,1,8,2,5,3,8,1,7,10,1,5,NA
348,FALSE,21,"EDUCATION","Education, Academia","UC, IRVINE!!!!!!!!!","1,157.00","15,260.00","Asian/Pacific Islander/Asian-American",3,3,"CALIFORNIA","92,683","41,778.00","To meet new people","Several times a year","Several times a week","EDUCATION ADMINISTRATION","Academic/Research",3,5,1,10,10,10,2,1,9,10,7,10,7,7,7,10,5,5,NA
349,FALSE,33,"Organizational Psychology","Social Science, Psychologist","Augustana College","1,180.00","18,720.00","European/Causasian-American",1,7,"New York","66,614","35,963.00","Seemed like a fun night out","Twice a month","Twice a week","Director of Training and Development","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",2,3,10,8,7,8,7,1,6,7,4,8,8,8,9,6,7,6,NA
350,FALSE,31,"Applied Physiology & Nutrition","Biological Sciences/Chemistry/Physics","University of Akron, OH","1,014.00","11,132.00","European/Causasian-American",9,5,"New Jersey","7,760","","To meet new people","Almost never","Once a week","Private practice Dietician","Doctor/Medicine",9,2,10,9,8,8,8,7,7,9,9,9,9,9,9,5,7,6,NA
351,FALSE,35,"music education","Education, Academia","ucla","1,290.00","15,309.00","Asian/Pacific Islander/Asian-American",1,3,"Taiwan","90,504","","To meet new people","Once a month","Twice a month","music educator, performer","Academic/Research",5,2,5,10,10,10,7,2,3,10,3,10,10,10,10,5,5,8,NA
352,FALSE,29,"Music Education","Education, Academia","Berklee College Of Music","","17,715.00","Other",6,6,"Taiwan","2,115","","To meet new people","Twice a month","Once a week","Artist","Creative Arts/Entertainment",8,5,10,10,10,10,8,4,5,5,8,9,9,10,10,7,7,9,NA
353,FALSE,25,"music education","Education, Academia","Shia-Chian University","","","Asian/Pacific Islander/Asian-American",7,7,"Taiwan","11,373","","Seemed like a fun night out","Twice a week","Several times a week","teacher","Academic/Research",3,4,5,8,9,9,8,8,5,6,4,9,9,8,9,8,5,5,NA
354,FALSE,22,"Clinical Psychology","Social Science, Psychologist","Loyola College in Maryland","1,210.00","23,500.00","European/Causasian-American",9,8,"Manhattan","10,128","49,409.00","Seemed like a fun night out","Several times a year","Several times a week","Clinical Psychology","Psychologist",10,10,10,10,8,8,1,1,1,8,10,10,10,10,10,10,6,7,NA
355,FALSE,24,"Clinical Psychology","Social Science, Psychologist","University of Delaware","1,160.00","14,380.00","European/Causasian-American",10,2,"NJ","8,225","","Seemed like a fun night out","Twice a month","Once a week","Clinical Psychologist","Psychologist",9,1,7,8,7,7,7,1,9,9,2,9,9,9,9,9,2,7,NA
356,FALSE,27,"Counseling Psychology","Social Science, Psychologist","Lafayette College","1,260.00","24,921.00","European/Causasian-American",2,4,"Pennsylvania","18,103","31,516.00","Seemed like a fun night out","Almost never","Twice a week","Psychologist","Psychologist",10,9,8,10,8,5,7,1,5,8,9,8,9,7,10,5,6,4,NA
357,FALSE,27,"education","Education, Academia","wellesley college","1,341.00","25,504.00","Asian/Pacific Islander/Asian-American",10,10,"atlanta, ga","30,071","36,223.00","Seemed like a fun night out","Twice a month","Twice a week","education","Academic/Research",2,6,10,10,10,10,8,1,7,10,6,10,8,7,7,8,1,1,NA
358,FALSE,26,"MBA","Business/Econ/Finance","UC Berkeley","1,309.00","15,162.00","Asian/Pacific Islander/Asian-American",1,1,"California and New York","95,008","43,367.00","Seemed like a fun night out","Once a month","Once a week","Marketing or Strategy and Business Development","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",6,2,7,10,4,5,2,4,9,9,6,5,8,4,5,7,3,5,NA
359,FALSE,26,"Communications in Education","English/Creative Writing/ Journalism","Hampshire College","1,250.00","26,871.00","European/Causasian-American",1,5,"California","11,104","27,503.00","To meet new people","Several times a year","Once a week","reorganizing society. no, I am not being flip.","International/Humanitarian Affairs",2,1,1,7,2,2,6,8,1,10,3,7,8,8,8,1,4,2,NA
360,FALSE,24,"psychology","Social Science, Psychologist","Jesus and Mary College,Delhi","","","Other",8,4,"New Delhi, India","110,060","","To meet new people","Several times a year","Twice a week","Clinical Psychologist","Psychologist",9,7,6,9,7,8,9,9,1,7,6,7,7,10,10,7,8,7,NA
361,TRUE,34,"Intellectual Property Law","Law","Columbia","1,430.00","26,908.00","European/Causasian-American",5,5,"Bronx Science","10,469","35,187.00","To meet new people","Several times a year","Several times a year","Intellectual Property Attorney","Lawyer",3,1,3,5,9,10,3,3,4,10,6,8,9,7,7,3,2,5,NA
362,TRUE,30,"Law","Law","Univeristy of Barcelona","","","European/Causasian-American",1,1,"Spain","","","Seemed like a fun night out","Twice a month","Once a week","Law","Lawyer",8,2,1,9,6,6,6,4,7,6,4,6,6,6,6,7,2,9,NA
363,TRUE,23,"engineering","Engineering","lipscomb university","","","Asian/Pacific Islander/Asian-American",1,1,"nashville, TN","37,204","26,298.00","To get a date","Several times a year","Twice a week","investment banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",3,3,9,10,4,5,8,6,9,7,5,5,8,7,5,8,5,7,NA
364,TRUE,27,"MBA Finance","Business/Econ/Finance","Florida International University","1,110.00","10,450.00","Latino/Hispanic American",6,2,"Miami","34,105","","To get a date","Twice a month","Twice a week","Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,7,9,9,4,3,3,5,1,9,5,4,7,5,6,8,1,6,NA
365,TRUE,30,"MBA","Business/Econ/Finance","HEC FRance","","","European/Causasian-American",1,1,"France","94,130","","Seemed like a fun night out","Twice a week","Several times a week","Make money","Undecided",7,3,3,9,9,10,8,4,8,8,1,5,7,9,10,5,5,8,NA
366,TRUE,27,"Business","Business/Econ/Finance","Monash University - Australia","","","European/Causasian-American",4,6,"Australia","3,186","","Seemed like a fun night out","Twice a month","Several times a week","Art Management","Creative Arts/Entertainment",6,6,4,8,9,9,7,6,8,9,4,6,7,10,10,8,6,5,NA
367,TRUE,27,"International Affairs","Political Science/International Affairs","Harvard University","1,400.00","26,019.00","European/Causasian-American",6,3,"Toronto, Canada","","","To get a date","Twice a month","Several times a week","Political Development in Africa","Politics",6,7,8,8,5,5,3,4,8,5,6,3,3,7,8,7,2,8,NA
368,TRUE,24,"Intrernational Affairs","Political Science/International Affairs","Cambridge University","","10,800.00","Other",1,1,"UK/Turkey","","","Seemed like a fun night out","Twice a month","Twice a week","Journalist","Creative Arts/Entertainment",4,6,4,8,9,7,3,8,9,9,9,7,9,8,9,8,4,4,NA
369,TRUE,25,"Clinical Psychology","Social Science, Psychologist","Boston College","1,310.00","25,026.00","European/Causasian-American",1,8,"Boston, MA","46,818","31,148.00","To meet new people","Once a month","Once a week","clinical psychologist, researcher, professor","Psychologist",2,6,2,6,7,7,7,1,1,10,3,7,5,6,8,1,1,7,NA
370,TRUE,28,"MBA","Business/Econ/Finance","Cornell","1,360.00","26,062.00","European/Causasian-American",7,4,"New York","11,363","55,704.00","To get a date","Twice a month","Several times a week","Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,8,7,7,6,6,3,1,6,7,2,2,2,5,9,4,1,7,NA
371,TRUE,27,"MBA","Business/Econ/Finance","Illinois","","8,421.00","European/Causasian-American",3,1,"Chicago","60,521","69,487.00","To say I did it","Almost never","Several times a week","Intl Development","International/Humanitarian Affairs",10,7,7,3,3,3,3,3,3,4,5,3,6,10,10,1,7,6,NA
372,TRUE,27,"Business","Business/Econ/Finance","Harvard College","1,400.00","26,019.00","European/Causasian-American",9,7,"Midwest USA","66,208","46,138.00","To meet new people","Once a month","Twice a week","undecided","Undecided",9,10,8,9,9,9,7,4,2,9,6,8,6,7,7,4,2,5,NA
373,TRUE,29,"MBA","Business/Econ/Finance","Universidad de Costa Rica","","","Latino/Hispanic American",3,1,"Costa Rica","9,971,200","","To meet new people","Once a month","Twice a week","Business Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,5,8,8,7,6,3,5,9,8,2,3,4,5,9,8,2,9,NA
374,TRUE,30,"BUSINESS CONSULTING","Business/Econ/Finance","SOGANG UNIVERSITY(KOREA)","","","Asian/Pacific Islander/Asian-American",6,6,"SOUTH KOREA","135,110","","To meet new people","Twice a month","Twice a week","CONSULTING","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,10,8,7,8,8,5,5,6,5,6,9,10,9,8,4,4,7,NA
375,TRUE,27,"MBA","Business/Econ/Finance","University of Texas","990.00","10,096.00","European/Causasian-American",3,2,"Yugoslavia","0","","Seemed like a fun night out","Once a week","Several times a week","Private Equity","Lawyer",9,8,5,8,4,4,2,2,7,5,6,5,6,3,6,7,3,5,NA
376,TRUE,25,"business","Business/Econ/Finance","u of southern california, economics","1,320.00","25,533.00","Asian/Pacific Islander/Asian-American",10,7,"los angeles","48,098","66,827.00","To meet new people","Once a month","Twice a week","still wondering","Undecided",4,1,4,10,5,6,7,7,3,3,9,7,9,5,6,9,5,5,NA
377,TRUE,26,"business school","Business/Econ/Finance","nyu","1,340.00","25,380.00","Asian/Pacific Islander/Asian-American",3,2,"new york","7,039","","Seemed like a fun night out","Once a month","Several times a week","investment management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,9,6,6,3,3,1,7,8,6,8,5,8,7,8,6,2,6,NA
378,TRUE,29,"MBA","Business/Econ/Finance","Northwestern University","1,159.00","25,839.00","European/Causasian-American",3,2,"Wisconsin","53,012","42,897.00","Other","Once a month","Twice a week","Finance Related","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,5,10,5,4,4,2,1,8,7,3,3,8,5,8,5,2,6,NA
379,FALSE,38,"Business, Media","Business/Econ/Finance","UC Berkeley","1,309.00","15,162.00","European/Causasian-American",4,6,"NYC, San Francisco","95,695","31,809.00","To meet new people","Almost never","Twice a week","Media Marketing/Entrepreneurship","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",4,4,6,7,8,8,7,2,2,6,7,7,9,6,6,3,5,5,NA
380,FALSE,33,"MFA -Film","Film","University of Michigan","1,290.00","21,645.00","Black/African American",4,8,"Chicago","60,519","","To meet new people","Almost never","Twice a month","film directing","Creative Arts/Entertainment",7,8,8,8,5,5,3,1,5,5,7,7,10,9,9,9,9,6,NA
381,FALSE,24,"Film","Film","NYU","1,340.00","25,380.00","European/Causasian-American",6,3,"California","92,833","","To say I did it","Twice a month","Several times a week","Screenwriter","Creative Arts/Entertainment",5,5,5,7,8,8,6,5,6,9,6,4,8,7,8,8,7,2,NA
382,FALSE,28,"Film","Film","School of the Arts","","","European/Causasian-American",8,1,"New York City","10,028","52,010.00","To meet new people","Almost never","Once a week","Filmmaker","Creative Arts/Entertainment",6,5,10,10,9,9,6,8,3,8,10,8,10,9,9,9,1,6,NA
383,FALSE,27,"Higher Ed. - M.A.","Education, Academia","Smith College","1,260.00","24,742.00","European/Causasian-American",10,5,"Massachusetts","1,040","","To get a date","Several times a year","Twice a week","Director of Admissions","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,7,9,9,8,8,5,1,5,6,9,4,9,8,7,7,4,4,NA
384,FALSE,23,"Education","Education, Academia","Bowdoin College","1,370.00","25,890.00","European/Causasian-American",9,6,"Connecticut","6,019","","To meet new people","Once a month","Once a week","Undecided","Undecided",8,5,7,9,10,10,3,3,7,6,7,10,10,5,6,6,3,8,NA
